FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
56,$11.06 ,$13.92 ,$16.18 ,$19.86 ,$24.81 ,$30.59 ,$36.32 ,$102.94 ,$102.94 ,$7.72 ,$102.94 ,$45.75 ,$62.75 ,$53.14 ,$61.09 ,$11.07 ,$53.14 ,$61.09 
57,$11.16 ,$14.06 ,$16.34 ,$20.09 ,$25.08 ,$30.77 ,$36.56 ,$104.59 ,$104.59 ,$7.84 ,$104.59 ,$46.70 ,$64.00 ,$53.62 ,$61.70 ,$11.16 ,$53.62 ,$61.70 
58,$11.27 ,$14.18 ,$16.50 ,$20.31 ,$25.35 ,$30.94 ,$36.81 ,$106.14 ,$106.14 ,$7.97 ,$106.14 ,$46.70 ,$64.00 ,$54.12 ,$62.33 ,$11.27 ,$54.12 ,$62.33 
59,$11.36 ,$14.29 ,$16.64 ,$20.50 ,$25.59 ,$31.12 ,$37.06 ,$107.78 ,$107.78 ,$8.10 ,$107.78 ,$47.65 ,$65.20 ,$54.64 ,$62.93 ,$11.37 ,$54.64 ,$62.93 
60,$11.47 ,$14.41 ,$16.80 ,$20.65 ,$25.81 ,$31.29 ,$37.31 ,$109.43 ,$109.43 ,$8.23 ,$109.43 ,$47.65 ,$65.20 ,$55.11 ,$63.55 ,$11.47 ,$55.11 ,$63.55 
61,$11.57 ,$14.52 ,$16.94 ,$20.79 ,$26.04 ,$31.46 ,$37.56 ,$111.26 ,$111.26 ,$8.35 ,$111.26 ,$48.50 ,$66.50 ,$55.61 ,$64.12 ,$11.56 ,$55.61 ,$64.12 
62,$11.66 ,$14.63 ,$17.08 ,$20.93 ,$26.23 ,$31.66 ,$37.81 ,$113.09 ,$113.09 ,$8.50 ,$113.09 ,$48.50 ,$66.50 ,$56.13 ,$64.65 ,$11.67 ,$56.13 ,$64.65 
63,$11.77 ,$14.75 ,$17.20 ,$21.07 ,$26.39 ,$31.84 ,$38.06 ,$114.92 ,$114.92 ,$8.61 ,$114.92 ,$49.40 ,$67.75 ,$56.62 ,$65.22 ,$11.77 ,$56.62 ,$65.22 
64,$11.87 ,$14.85 ,$17.32 ,$21.21 ,$26.58 ,$32.02 ,$38.30 ,$116.85 ,$116.85 ,$8.77 ,$116.85 ,$49.40 ,$67.75 ,$57.10 ,$65.75 ,$11.87 ,$57.10 ,$65.75 
65,$11.96 ,$14.96 ,$17.44 ,$21.35 ,$26.74 ,$32.21 ,$38.55 ,$118.76 ,$118.76 ,$8.87 ,$118.76 ,$50.15 ,$68.95 ,$57.57 ,$66.32 ,$11.96 ,$57.57 ,$66.32 
