FedEx Express U.S. Package Standard List Rates: FedEx Priority Overnight®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
117,$160.29 ,$225.81 ,$324.09 ,$349.83 ,$376.74 ,$390.78 ,$407.16 ,$414.18 ,$416.52 ,$318.24 
118,$161.66 ,$227.74 ,$326.86 ,$352.82 ,$379.96 ,$394.12 ,$410.64 ,$417.72 ,$420.08 ,$320.96 
119,$163.03 ,$229.67 ,$329.63 ,$355.81 ,$383.18 ,$397.46 ,$414.12 ,$421.26 ,$423.64 ,$323.68 
120,$164.40 ,$231.60 ,$332.40 ,$358.80 ,$386.40 ,$400.80 ,$417.60 ,$424.80 ,$427.20 ,$326.40 
121,$165.77 ,$233.53 ,$335.17 ,$361.79 ,$389.62 ,$404.14 ,$421.08 ,$428.34 ,$430.76 ,$329.12 
122,$167.14 ,$235.46 ,$337.94 ,$364.78 ,$392.84 ,$407.48 ,$424.56 ,$431.88 ,$434.32 ,$331.84 
123,$168.51 ,$237.39 ,$340.71 ,$367.77 ,$396.06 ,$410.82 ,$428.04 ,$435.42 ,$437.88 ,$334.56 
124,$169.88 ,$239.32 ,$343.48 ,$370.76 ,$399.28 ,$414.16 ,$431.52 ,$438.96 ,$441.44 ,$337.28 
125,$171.25 ,$241.25 ,$346.25 ,$373.75 ,$402.50 ,$417.50 ,$435.00 ,$442.50 ,$445.00 ,$340.00 
126,$172.62 ,$243.18 ,$349.02 ,$376.74 ,$405.72 ,$420.84 ,$438.48 ,$446.04 ,$448.56 ,$342.72 
127,$173.99 ,$245.11 ,$351.79 ,$379.73 ,$408.94 ,$424.18 ,$441.96 ,$449.58 ,$452.12 ,$345.44 
128,$175.36 ,$247.04 ,$354.56 ,$382.72 ,$412.16 ,$427.52 ,$445.44 ,$453.12 ,$455.68 ,$348.16 
129,$176.73 ,$248.97 ,$357.33 ,$385.71 ,$415.38 ,$430.86 ,$448.92 ,$456.66 ,$459.24 ,$350.88 
130,$178.10 ,$250.90 ,$360.10 ,$388.70 ,$418.60 ,$434.20 ,$452.40 ,$460.20 ,$462.80 ,$353.60 
131,$179.47 ,$252.83 ,$362.87 ,$391.69 ,$421.82 ,$437.54 ,$455.88 ,$463.74 ,$466.36 ,$356.32 
132,$180.84 ,$254.76 ,$365.64 ,$394.68 ,$425.04 ,$440.88 ,$459.36 ,$467.28 ,$469.92 ,$359.04 
133,$182.21 ,$256.69 ,$368.41 ,$397.67 ,$428.26 ,$444.22 ,$462.84 ,$470.82 ,$473.48 ,$361.76 
134,$183.58 ,$258.62 ,$371.18 ,$400.66 ,$431.48 ,$447.56 ,$466.32 ,$474.36 ,$477.04 ,$364.48 
135,$184.95 ,$260.55 ,$373.95 ,$403.65 ,$434.70 ,$450.90 ,$469.80 ,$477.90 ,$480.60 ,$367.20 
136,$186.32 ,$262.48 ,$376.72 ,$406.64 ,$437.92 ,$454.24 ,$473.28 ,$481.44 ,$484.16 ,$369.92 
137,$187.69 ,$264.41 ,$379.49 ,$409.63 ,$441.14 ,$457.58 ,$476.76 ,$484.98 ,$487.72 ,$372.64 
138,$189.06 ,$266.34 ,$382.26 ,$412.62 ,$444.36 ,$460.92 ,$480.24 ,$488.52 ,$491.28 ,$375.36 
139,$190.43 ,$268.27 ,$385.03 ,$415.61 ,$447.58 ,$464.26 ,$483.72 ,$492.06 ,$494.84 ,$378.08 
140,$191.80 ,$270.20 ,$387.80 ,$418.60 ,$450.80 ,$467.60 ,$487.20 ,$495.60 ,$498.40 ,$380.80 
141,$193.17 ,$272.13 ,$390.57 ,$421.59 ,$454.02 ,$470.94 ,$490.68 ,$499.14 ,$501.96 ,$383.52 
142,$194.54 ,$274.06 ,$393.34 ,$424.58 ,$457.24 ,$474.28 ,$494.16 ,$502.68 ,$505.52 ,$386.24 
143,$195.91 ,$275.99 ,$396.11 ,$427.57 ,$460.46 ,$477.62 ,$497.64 ,$506.22 ,$509.08 ,$388.96 
144,$197.28 ,$277.92 ,$398.88 ,$430.56 ,$463.68 ,$480.96 ,$501.12 ,$509.76 ,$512.64 ,$391.68 
145,$198.65 ,$279.85 ,$401.65 ,$433.55 ,$466.90 ,$484.30 ,$504.60 ,$513.30 ,$516.20 ,$394.40 
146,$200.02 ,$281.78 ,$404.42 ,$436.54 ,$470.12 ,$487.64 ,$508.08 ,$516.84 ,$519.76 ,$397.12 
147,$201.39 ,$283.71 ,$407.19 ,$439.53 ,$473.34 ,$490.98 ,$511.56 ,$520.38 ,$523.32 ,$399.84 
148,$202.76 ,$285.64 ,$409.96 ,$442.52 ,$476.56 ,$494.32 ,$515.04 ,$523.92 ,$526.88 ,$402.56 
149,$204.13 ,$287.57 ,$412.73 ,$445.51 ,$479.78 ,$497.66 ,$518.52 ,$527.46 ,$530.44 ,$405.28 
150,$205.50 ,$289.50 ,$415.50 ,$448.50 ,$483.00 ,$501.00 ,$522.00 ,$531.00 ,$534.00 ,$408.00 


Hundredweight/Per-Pound Rates (multiply by total shipment weight),,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
100-499,$1.37 ,$1.93 ,$2.77 ,$2.99 ,$3.22 ,$3.34 ,$3.48 ,$3.54 ,$3.56 ,$2.72 
500-999,$1.35 ,$1.91 ,$2.75 ,$2.97 ,$3.20 ,$3.32 ,$3.46 ,$3.52 ,$3.54 ,$2.70 
1000-1999,$1.33 ,$1.89 ,$2.73 ,$2.95 ,$3.18 ,$3.30 ,$3.44 ,$3.50 ,$3.52 ,$2.68 
2000+,$1.31 ,$1.87 ,$2.71 ,$2.93 ,$3.16 ,$3.28 ,$3.42 ,$3.48 ,$3.50 ,$2.66 

See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
